autolog_idx,mapped_idx,diff_ms
0,0,437
1,1,1547
2,2,2532
3,3,3093
4,4,3383
5,5,3602
6,6,4109
7,7,4711
8,8,5093
9,9,5273
10,10,5328
11,11,5398
12,12,5617
13,13,6055
14,14,6539
15,15,6797
16,16,6906
17,17,6960
18,18,7179
19,19,7508
20,20,7726
21,21,7945
22,22,8329
23,23,8656
24,24,9094
25,25,9640
26,26,10242
27,27,11023
28,28,11625
29,29,12008
30,30,12243
31,31,12985
32,32,14258
33,33,16719
34,34,21024
35,35,24430
36,36,25359
37,37,25360
38,38,25359
39,39,25359
40,40,25360
41,41,25359
42,42,25344
43,43,25235
44,44,25125
45,45,25016
46,46,24907
47,47,24797
48,48,24688
49,49,24579
50,50,24469
51,51,24360
52,52,24250
53,53,24141
54,54,24032
55,55,23922
56,56,23797
57,57,23688
58,58,23579
59,59,23454
60,60,23344
61,61,23235
62,62,23125
63,63,23016
64,64,22907
65,65,22797
66,66,22688
67,67,22579
68,68,22469
69,69,22344
70,70,22219
71,71,22094
72,72,21985
73,73,21875
74,74,21766
75,75,21657
76,76,21547
77,77,21438
78,78,21329
79,79,21219
80,80,21110
81,81,21000
82,82,20891
83,83,20782
84,84,20672
85,85,20563
86,86,20454
87,87,20344
88,88,20235
89,89,20125
90,90,20016
91,91,19907
92,92,19797
93,93,19688
94,94,19579
95,95,19469
96,96,19360
97,97,19250
98,98,19141
99,99,19032
100,100,18922
101,101,18813
102,102,18704
103,103,18594
104,104,18485
105,105,18375
106,106,18266
107,107,18157
