autolog,mapped,res_ms
890195625,890196164,-539
890195734,890196824,-1090
890195843,890197048,-1205
890195953,890197259,-1306
890196062,890197321,-1259
890196171,890197471,-1300
890196281,890197608,-1327
890196390,890197633,-1243
890196500,890197682,-1182
890196609,890197757,-1148
890196718,890197807,-1089
890196828,890197869,-1041
890196937,890197919,-982
890197046,890198018,-972
890197156,890198106,-950
890197281,890198143,-862
890197390,890198330,-940
890197500,890198392,-892
890197609,890198417,-808
890197718,890198479,-761
890197828,890198554,-726
890197937,890198578,-641
890198046,890198641,-595
890198156,890198703,-547
890198265,890198753,-488
890198375,890198815,-440
890198484,890198927,-443
890198593,890198989,-396
890198703,890199101,-398
890198812,890199176,-364
890198937,890199201,-264
890199046,890199338,-292
890199156,890199375,-219
890199265,890199425,-160
890199390,890199474,-84
890199500,890199549,-49
890199609,890199599,10
890199718,890199773,-55
890199828,890199947,-119
890199937,890199972,-35
890200046,890200034,12
890200156,890200159,-3
890200281,890200221,60
890200390,890200321,69
890200500,890200383,117
890200609,890200483,126
890200718,890200545,173
890200828,890200694,134
890200937,890200794,143
890201046,890200881,165
890201156,890200918,238
890201265,890200968,297
890201375,890201304,71
890201484,890201366,118
890201593,890201491,102
890201703,890201640,63
890201828,890201752,76
890201937,890201876,61
890202046,890201976,70
890202171,890202038,133
890202281,890202088,193
890202390,890202150,240
890202500,890202187,313
890202609,890202312,297
890202718,890202387,331
890202828,890202411,417
890202937,890202474,463
890203046,890202810,236
890203156,890203009,147
890203281,890203034,247
890203406,890203196,210
890203531,890203258,273
890203640,890203594,46
890203750,890203656,94
890203859,890203706,153
890203968,890203768,200
890204078,890204042,36
890204187,890204266,-79
890204296,890204328,-32
890204406,890204676,-270
890204515,890204701,-186
890204625,890204925,-300
890204734,890205075,-341
890204843,890205100,-257
890204953,890205212,-259
890205062,890205274,-212
890205171,890205647,-476
890205281,890205747,-466
890205390,890205871,-481
890205500,890206021,-521
890205609,890206307,-698
890205718,890206593,-875
890205828,890206643,-815
890205937,890206705,-768
890206046,890206755,-709
890206156,890206817,-661
890206265,890207004,-739
890206375,890207029,-654
890206484,890207103,-619
890206593,890207427,-834
890206703,890207551,-848
890206812,890207589,-777
890206921,890207713,-792
890207031,890207775,-744
890207140,890207875,-735
890207250,890207999,-749
890207359,890208037,-678
890207468,890208124,-656
890207578,890208161,-583
890207687,890208211,-524
890207796,890208261,-465
890207906,890208310,-404
890208015,890208385,-370
890208125,890208497,-372
890208234,890208534,-300
890208343,890208646,-303
890208453,890208734,-281
890208562,890208771,-209
890208671,890208821,-150
890208781,890208870,-89
890208906,890208933,-27
890209015,890208995,20
890209125,890209045,80
890209234,890209094,140
890209343,890209219,124
890209453,890209281,172
890209562,890209381,181
890209671,890209443,228
890209781,890209505,276
890209890,890209605,285
890210000,890209667,333
890210109,890209704,405
890210218,890209767,451
890210328,890209891,437
890210437,890209991,446
890210546,890210103,443
890210656,890210165,491
890210765,890210264,501
890210875,890210314,561
890211000,890210414,586
890211125,890210488,637
890211234,890210538,696
890211343,890210588,755
890211468,890210687,781
890211578,890210750,828
890211687,890210874,813
890211796,890210924,872
890211906,890211036,870
890212031,890211061,970
890212140,890211148,992
890212250,890211198,1052
890212359,890211260,1099
890212468,890211322,1146
890212578,890211384,1194
890212687,890211447,1240
890212796,890211484,1312
890212906,890211546,1360
890213031,890211621,1410
890213140,890211646,1494
890213250,890211720,1530
890213359,890211758,1601
890213468,890211882,1586
890213578,890211932,1646
890213687,890212094,1593
890213796,890212156,1640
890213906,890212218,1688
890214015,890212343,1672
890214125,890212368,1757
890214234,890212430,1804
890214343,890212492,1851
890214453,890212542,1911
890214562,890212778,1784
890214671,890213002,1669
890214781,890213114,1667
890214890,890213152,1738
890215000,890213214,1786
890215109,890213338,1771
890215218,890213662,1556
890215328,890213724,1604
890215437,890213824,1613
890215546,890214010,1536
890215656,890214110,1546
890215765,890214160,1605
890215875,890214234,1641
890215984,890214334,1650
890216093,890214384,1709
890216203,890214533,1670
890216312,890214558,1754
890216421,890214720,1701
890216531,890214832,1699
890216640,890215093,1547
890216750,890215143,1607
890216859,890215217,1642
890216968,890215305,1663
890217078,890215429,1649
890217187,890215479,1708
890217296,890216263,1033
890217406,890216599,807
890217515,890216922,593
890217625,890217109,516
890217734,890217818,-84
890217843,890217943,-100
890217953,890217993,-40
890218062,890218167,-105
890218171,890218602,-431
890218281,890218690,-409
890218390,890218752,-362
890218500,890218777,-277
890218609,890219349,-740
890218718,890219548,-830
890218828,890219660,-832
890218937,890219723,-786
890219046,890219884,-838
890219156,890220108,-952
890219265,890220158,-893
890219375,890220208,-833
890219484,890220258,-774
890219593,890220432,-839
890219703,890220482,-779
890219812,890220892,-1080
890219921,890221004,-1083
890220031,890221054,-1023
890220140,890221116,-976
890220250,890221216,-966
890220359,890221328,-969
890220468,890221428,-960
890220578,890221602,-1024
890220687,890221676,-989
890220796,890221714,-918
890220906,890221801,-895
890221015,890221838,-823
890221125,890221950,-825
890221234,890222000,-766
890221343,890222112,-769
890221453,890222236,-783
890221562,890222274,-712
890221671,890222398,-727
890221796,890222498,-702
890221906,890222548,-642
890222015,890222622,-607
890222125,890222722,-597
890222234,890222784,-550
890222343,890222933,-590
890222453,890222996,-543
890222562,890223083,-521
890222671,890223108,-437
890222781,890223182,-401
890222890,890223307,-417
890223000,890223332,-332
890223109,890223444,-335
890223218,890223506,-288
890223328,890223618,-290
890223437,890223655,-218
890223546,890223892,-346
890223656,890224016,-360
890223765,890224053,-288
890223875,890224240,-365
890223984,890224651,-667
890224093,890224763,-670
890224203,890224887,-684
890224312,890224987,-675
890224421,890225049,-628
890224531,890225261,-730
890224640,890225348,-708
890224750,890225373,-623
890224859,890225435,-576
890224968,890225485,-517
890225078,890225609,-531
890225187,890225671,-484
890225296,890226430,-1134
890225406,890226555,-1149
890225515,890226617,-1102
890225625,890226779,-1154
