time_s,tick_ms_mapped
2.1,890196164
3.866667,890196824
4.466667,890197048
5.033333,890197259
5.2,890197321
5.6,890197471
5.966667,890197608
6.033333,890197633
6.166667,890197682
6.366667,890197757
6.5,890197807
6.666667,890197869
6.8,890197919
7.066667,890198018
7.3,890198106
7.4,890198143
7.9,890198330
8.066667,890198392
8.133333,890198417
8.3,890198479
8.5,890198554
8.566667,890198578
8.733333,890198641
8.9,890198703
9.033333,890198753
9.2,890198815
9.5,890198927
9.666667,890198989
9.966667,890199101
10.166667,890199176
10.233333,890199201
10.6,890199338
10.7,890199375
10.833333,890199425
10.966667,890199474
11.166667,890199549
11.3,890199599
11.766667,890199773
12.233333,890199947
12.3,890199972
12.466667,890200034
12.8,890200159
12.966667,890200221
13.233333,890200321
13.4,890200383
13.666667,890200483
13.833333,890200545
14.233333,890200694
14.5,890200794
14.733333,890200881
14.833333,890200918
14.966667,890200968
15.866667,890201304
16.033333,890201366
16.366667,890201491
16.766667,890201640
17.066667,890201752
17.4,890201876
17.666667,890201976
17.833333,890202038
17.966667,890202088
18.133333,890202150
18.233333,890202187
18.566667,890202312
18.766667,890202387
18.833333,890202411
19.0,890202474
19.9,890202810
20.433333,890203009
20.5,890203034
20.933333,890203196
21.1,890203258
22.0,890203594
22.166667,890203656
22.3,890203706
22.466667,890203768
23.2,890204042
23.8,890204266
23.966667,890204328
24.9,890204676
24.966667,890204701
25.566667,890204925
25.966667,890205075
26.033333,890205100
26.333333,890205212
26.5,890205274
27.5,890205647
27.766667,890205747
28.1,890205871
28.5,890206021
29.266667,890206307
30.033333,890206593
30.166667,890206643
30.333333,890206705
30.466667,890206755
30.633333,890206817
31.133333,890207004
31.2,890207029
31.4,890207103
32.266667,890207427
32.6,890207551
32.7,890207589
33.033333,890207713
33.2,890207775
33.466667,890207875
33.8,890207999
33.9,890208037
34.133333,890208124
34.233333,890208161
34.366667,890208211
34.5,890208261
34.633333,890208310
34.833333,890208385
35.133333,890208497
35.233333,890208534
35.533333,890208646
35.766667,890208734
35.866667,890208771
36.0,890208821
36.133333,890208870
36.3,890208933
36.466667,890208995
36.6,890209045
36.733333,890209094
37.066667,890209219
37.233333,890209281
37.5,890209381
37.666667,890209443
37.833333,890209505
38.1,890209605
38.266667,890209667
38.366667,890209704
38.533333,890209767
38.866667,890209891
39.133333,890209991
39.433333,890210103
39.6,890210165
39.866667,890210264
40.0,890210314
40.266667,890210414
40.466667,890210488
40.6,890210538
40.733333,890210588
41.0,890210687
41.166667,890210750
41.5,890210874
41.633333,890210924
41.933333,890211036
42.0,890211061
42.233333,890211148
42.366667,890211198
42.533333,890211260
42.7,890211322
42.866667,890211384
43.033333,890211447
43.133333,890211484
43.3,890211546
43.5,890211621
43.566667,890211646
43.766667,890211720
43.866667,890211758
44.2,890211882
44.333333,890211932
44.766667,890212094
44.933333,890212156
45.1,890212218
45.433333,890212343
45.5,890212368
45.666667,890212430
45.833333,890212492
45.966667,890212542
46.6,890212778
47.2,890213002
47.5,890213114
47.6,890213152
47.766667,890213214
48.1,890213338
48.966667,890213662
49.133333,890213724
49.4,890213824
49.9,890214010
50.166667,890214110
50.3,890214160
50.5,890214234
50.766667,890214334
50.9,890214384
51.3,890214533
51.366667,890214558
51.8,890214720
52.1,890214832
52.8,890215093
52.933333,890215143
53.133333,890215217
53.366667,890215305
53.7,890215429
53.833333,890215479
55.933333,890216263
56.833333,890216599
57.7,890216922
58.2,890217109
60.1,890217818
60.433333,890217943
60.566667,890217993
61.033333,890218167
62.2,890218602
62.433333,890218690
62.6,890218752
62.666667,890218777
64.2,890219349
64.733333,890219548
65.033333,890219660
65.2,890219723
65.633333,890219884
66.233333,890220108
66.366667,890220158
66.5,890220208
66.633333,890220258
67.1,890220432
67.233333,890220482
68.333333,890220892
68.633333,890221004
68.766667,890221054
68.933333,890221116
69.2,890221216
69.5,890221328
69.766667,890221428
70.233333,890221602
70.433333,890221676
70.533333,890221714
70.766667,890221801
70.866667,890221838
71.166667,890221950
71.3,890222000
71.6,890222112
71.933333,890222236
72.033333,890222274
72.366667,890222398
72.633333,890222498
72.766667,890222548
72.966667,890222622
73.233333,890222722
73.4,890222784
73.8,890222933
73.966667,890222996
74.2,890223083
74.266667,890223108
74.466667,890223182
74.8,890223307
74.866667,890223332
75.166667,890223444
75.333333,890223506
75.633333,890223618
75.733333,890223655
76.366667,890223892
76.7,890224016
76.8,890224053
77.3,890224240
78.4,890224651
78.7,890224763
79.033333,890224887
79.3,890224987
79.466667,890225049
80.033333,890225261
80.266667,890225348
80.333333,890225373
80.5,890225435
80.633333,890225485
80.966667,890225609
81.133333,890225671
83.166667,890226430
83.5,890226555
83.666667,890226617
84.1,890226779
84.233333,890226829
84.466667,890226916
84.533333,890226941
84.766667,890227028
84.833333,890227053
84.966667,890227102
85.3,890227227
85.8,890227414
85.866667,890227438
86.766667,890227774
87.833333,890228173
88.2,890228310
88.266667,890228335
88.8,890228534
88.866667,890228559
89.833333,890228919
89.933333,890228957
90.4,890229131
90.666667,890229231
91.033333,890229367
91.333333,890229479
91.6,890229579
92.133333,890229778
92.233333,890229815
92.666667,890229977
92.933333,890230077
93.266667,890230201
93.566667,890230313
93.733333,890230375
93.9,890230438
94.166667,890230537
94.3,890230587
94.466667,890230649
94.6,890230699
94.833333,890230786
