time_s,tick_ms_mapped
2.133333,890196062
3.9,890197274
5.0,890198375
5.6,890199043
6.0,890199445
6.2,890199773
6.733333,890200386
7.8,890201101
8.1,890201593
8.4,890201882
8.533333,890202046
8.666667,890202226
8.966667,890202554
9.666667,890203109
10.2,890203695
10.666667,890204078
10.8,890204296
10.9,890204460
11.266667,890204789
11.766667,890205226
12.133333,890205554
12.266667,890205882
12.966667,890206375
13.333333,890206812
13.633333,890207359
14.8,890208015
14.9,890208732
16.366667,890209617
16.766667,890210328
17.4,890210824
17.766667,890211180
17.9,890212022
20.5,890213411
20.6,890215984
28.166667,890220417
30.666667,890223929
33.1,890224968
34.1,890225078
34.333333,890225187
34.433333,890225296
35.166667,890225406
35.5,890225515
35.833333,890225625
36.533333,890225625
37.3,890225625
37.566667,890225625
37.8,890225625
37.9,890225625
38.4,890225625
39.166667,890225625
39.4,890225625
39.666667,890225625
39.866667,890225625
40.233333,890225625
40.533333,890225625
41.2,890225625
41.566667,890225625
42.433333,890225625
42.933333,890225625
43.1,890225625
43.533333,890225625
43.833333,890225625
44.266667,890225625
45.166667,890225625
45.466667,890225625
46.666667,890225625
47.2,890225625
47.6,890225625
47.7,890225625
48.166667,890225625
49.2,890225625
49.9,890225625
50.233333,890225625
51.266667,890225625
60.066667,890225625
62.666667,890225625
64.766667,890225625
65.0,890225625
65.633333,890225625
66.233333,890225625
66.533333,890225625
68.4,890225625
68.733333,890225625
69.2,890225625
70.833333,890225625
71.166667,890225625
72.0,890225625
72.433333,890225625
72.666667,890225625
72.966667,890225625
73.2,890225625
74.466667,890225625
74.766667,890225625
75.7,890225625
76.8,890225625
77.366667,890225625
79.0,890225625
83.7,890225625
84.066667,890225625
91.333333,890225625
92.266667,890225625
92.733333,890225625
93.633333,890225625
93.866667,890225625
94.133333,890225625
94.233333,890225625
94.5,890225625
94.8,890225625
