time_s,tick_ms_mapped
2.133333,890195780
3.9,890196089
5.0,890196281
5.6,890196386
6.0,890196456
6.2,890196491
6.733333,890196584
7.8,890196771
8.1,890196823
8.4,890196876
8.533333,890196899
8.666667,890196922
8.966667,890196975
9.666667,890197097
10.2,890197190
10.666667,890197272
10.8,890197295
10.9,890197313
11.266667,890197377
11.766667,890197464
12.133333,890197529
12.266667,890197552
12.966667,890197674
13.333333,890197738
13.633333,890197791
14.8,890197995
14.9,890198012
16.366667,890198269
16.766667,890198339
17.4,890198450
17.766667,890198514
17.9,890198537
20.5,890198992
20.6,890199009
28.166667,890200333
30.666667,890200770
33.1,890199614
34.1,890199858
34.333333,890199916
34.433333,890199940
35.166667,890200119
35.5,890200201
35.833333,890200282
36.533333,890200454
37.3,890200641
37.566667,890200706
37.8,890200763
37.9,890200788
38.4,890200910
39.166667,890201098
39.4,890201155
39.666667,890201220
39.866667,890201269
40.233333,890201359
40.533333,890201432
41.2,890201595
41.566667,890201685
42.433333,890201897
42.933333,890202019
43.1,890202060
43.533333,890202166
43.833333,890202239
44.266667,890202345
45.166667,890202565
45.466667,890202638
46.666667,890202932
47.2,890203062
47.6,890203160
47.7,890203185
48.166667,890203299
49.2,890203551
49.9,890203723
50.233333,890203254
51.266667,890203347
60.066667,890204137
62.666667,890204370
64.766667,890204558
65.0,890204579
65.633333,890204636
66.233333,890204690
66.533333,890204717
68.4,890204884
68.733333,890204914
69.2,890204956
70.833333,890205102
71.166667,890205132
72.0,890205207
72.433333,890205246
72.666667,890205267
72.966667,890205294
73.2,890205315
74.466667,890205428
74.766667,890205455
75.7,890205539
76.8,890205638
77.366667,890205688
79.0,890205835
83.7,890206256
84.066667,890206289
91.333333,890206941
92.266667,890207025
92.733333,890207067
93.633333,890207148
93.866667,890207168
94.133333,890207192
94.233333,890207201
94.5,890207225
94.8,890207252
