time_s,tick_ms_mapped
2.1,890196120
3.866667,890196767
4.466667,890196987
5.033333,890197195
5.2,890197256
5.6,890197402
5.966667,890197536
6.033333,890197561
6.166667,890197610
6.366667,890197683
6.5,890197732
6.666667,890197793
6.8,890197842
7.066667,890197939
7.3,890198025
7.4,890198062
7.9,890198245
8.066667,890198306
8.133333,890198330
8.3,890198391
8.5,890198465
8.566667,890198489
8.733333,890198550
8.9,890198611
9.033333,890198660
9.2,890198721
9.5,890198831
9.666667,890198892
9.966667,890199002
10.166667,890199075
10.233333,890199099
10.6,890199234
10.7,890199270
10.833333,890199319
10.966667,890199368
11.166667,890199441
11.3,890199490
11.766667,890199661
12.233333,890199832
12.3,890199857
12.466667,890199918
12.8,890200040
12.966667,890200101
13.233333,890200198
13.4,890200260
13.666667,890200357
13.833333,890200418
14.233333,890200565
14.5,890200662
14.733333,890200748
14.833333,890200785
14.966667,890200833
15.866667,890201163
16.033333,890201224
16.366667,890201346
16.766667,890201493
17.066667,890201603
17.4,890201725
17.666667,890201823
17.833333,890201884
17.966667,890201932
18.133333,890201993
18.233333,890202030
18.566667,890202152
18.766667,890202225
18.833333,890202250
19.0,890202311
19.9,890202641
20.433333,890202836
20.5,890202860
20.933333,890203019
21.1,890203080
22.0,890203410
22.166667,890203471
22.3,890203520
22.466667,890203581
23.2,890203850
23.8,890204069
23.966667,890204130
24.9,890204472
24.966667,890204497
25.566667,890204717
25.966667,890204863
26.033333,890204887
26.333333,890204997
26.5,890205058
27.5,890205425
27.766667,890205522
28.1,890205645
28.5,890205791
29.266667,890206072
30.033333,890206353
30.166667,890206402
30.333333,890206463
30.466667,890206512
30.633333,890206573
31.133333,890206756
31.2,890206780
31.4,890206853
32.266667,890207171
32.6,890207293
32.7,890207330
33.033333,890207452
33.2,890207513
33.466667,890207610
33.8,890207733
33.9,890207769
34.133333,890207855
34.233333,890207891
34.366667,890207940
34.5,890207989
34.633333,890208038
34.833333,890208111
35.133333,890208221
35.233333,890208258
35.533333,890208368
35.766667,890208453
35.866667,890208490
36.0,890208539
36.133333,890208587
36.3,890208648
36.466667,890208709
36.6,890208758
36.733333,890208807
37.066667,890208929
37.233333,890208990
37.5,890209088
37.666667,890209149
37.833333,890209210
38.1,890209308
38.266667,890209369
38.366667,890209405
38.533333,890209467
38.866667,890209589
39.133333,890209686
39.433333,890209796
39.6,890209857
39.866667,890209955
40.0,890210004
40.266667,890210102
40.466667,890210175
40.6,890210224
40.733333,890210272
41.0,890210370
41.166667,890210431
41.5,890210553
41.633333,890210602
41.933333,890210712
42.0,890210736
42.233333,890210822
42.366667,890210871
42.533333,890210932
42.7,890210993
42.866667,890211054
43.033333,890211115
43.133333,890211152
43.3,890211213
43.5,890211286
43.566667,890211310
43.766667,890211384
43.866667,890211420
44.2,890211542
44.333333,890211591
44.766667,890211750
44.933333,890211811
45.1,890211872
45.433333,890211994
45.5,890212019
45.666667,890212080
45.833333,890212141
45.966667,890212190
46.6,890212422
47.2,890212641
47.5,890212751
47.6,890212788
47.766667,890212849
48.1,890212971
48.966667,890213289
49.133333,890213350
49.4,890213447
49.9,890213630
50.166667,890213728
50.3,890213777
50.5,890213850
50.766667,890213948
50.9,890213997
51.3,890214143
51.366667,890214168
51.8,890214326
52.1,890214436
52.8,890214693
52.933333,890214742
53.133333,890214815
53.366667,890214900
53.7,890215023
53.833333,890215071
55.933333,890215841
56.833333,890216170
57.7,890216488
58.2,890216671
60.1,890217367
60.433333,890217489
60.566667,890217538
61.033333,890217709
62.2,890218136
62.433333,890218222
62.6,890218283
62.666667,890218307
64.2,890218869
64.733333,890219064
65.033333,890219174
65.2,890219235
65.633333,890219394
66.233333,890219614
66.366667,890219663
66.5,890219712
66.633333,890219760
67.1,890219931
67.233333,890219980
68.333333,890220383
68.633333,890220493
68.766667,890220542
68.933333,890220603
69.2,890220701
69.5,890220810
69.766667,890220908
70.233333,890221079
70.433333,890221152
70.533333,890221189
70.766667,890221274
70.866667,890221311
71.166667,890221421
71.3,890221470
71.6,890221580
71.933333,890221702
72.033333,890221739
72.366667,890221861
72.633333,890221958
72.766667,890222007
72.966667,890222080
73.233333,890222178
73.4,890222239
73.8,890222386
73.966667,890222447
74.2,890222532
74.266667,890222557
74.466667,890222630
74.8,890222752
74.866667,890222776
75.166667,890222886
75.333333,890222947
75.633333,890223057
75.733333,890223094
76.366667,890223326
76.7,890223448
76.8,890223485
77.3,890223668
78.4,890224071
78.7,890224181
79.033333,890224303
79.3,890224400
79.466667,890224462
80.033333,890224669
80.266667,890224755
80.333333,890224779
80.5,890224840
80.633333,890224889
80.966667,890225011
81.133333,890225072
83.166667,890225817
83.5,890225939
83.666667,890226000
84.1,890226159
84.233333,890226208
84.466667,890226293
84.533333,890226318
84.766667,890226403
84.833333,890226428
84.966667,890226476
85.3,890226598
85.8,890226782
85.866667,890226806
86.766667,890227136
87.833333,890227526
88.2,890227661
88.266667,890227685
88.8,890227881
88.866667,890227905
89.833333,890228259
89.933333,890228296
90.4,890228467
90.666667,890228564
91.033333,890228699
91.333333,890228809
91.6,890228906
92.133333,890229102
92.233333,890229138
92.666667,890229297
92.933333,890229395
93.266667,890229517
93.566667,890229627
93.733333,890229688
93.9,890229749
94.166667,890229847
94.3,890229895
94.466667,890229956
94.6,890230005
94.833333,890230091
