time_s,tick_ms_mapped
10.166667,890196191
10.233333,890196215
10.6,890196346
10.7,890196382
10.833333,890196430
10.966667,890196478
11.166667,890196549
11.3,890196597
11.766667,890196764
12.233333,890196931
12.3,890196955
12.466667,890197015
12.8,890197134
12.966667,890197194
13.233333,890197289
13.4,890197349
13.666667,890197445
13.833333,890197504
14.233333,890197648
14.5,890197743
14.733333,890197827
14.833333,890197862
14.966667,890197910
15.866667,890198233
16.033333,890198292
16.366667,890198412
16.766667,890198555
17.066667,890198662
17.4,890198782
17.666667,890198877
17.833333,890198937
17.966667,890198985
18.133333,890199044
18.233333,890199080
18.566667,890199199
18.766667,890199271
18.833333,890199295
19.0,890199355
19.9,890199677
20.433333,890199868
20.5,890199892
20.933333,890200047
21.1,890200107
22.0,890200429
22.166667,890200489
22.3,890200536
22.466667,890200596
23.2,890200859
23.8,890201074
23.966667,890201133
24.9,890201468
24.966667,890201491
25.566667,890201706
25.966667,890201850
26.033333,890201873
26.333333,890201981
26.5,890202041
27.5,890202399
27.766667,890202494
28.1,890202614
28.5,890202757
29.266667,890203031
30.033333,890203306
30.166667,890203354
30.333333,890203413
30.466667,890203461
30.633333,890203521
31.133333,890203700
31.2,890203724
31.4,890203795
32.266667,890204106
32.6,890204225
32.7,890204261
33.033333,890204380
33.2,890204440
33.466667,890204536
33.8,890204655
33.9,890204691
34.133333,890204774
34.233333,890204810
34.366667,890204858
34.5,890204906
34.633333,890204953
34.833333,890205025
35.133333,890205132
35.233333,890205168
35.533333,890205276
35.766667,890205359
35.866667,890205395
36.0,890205443
36.133333,890205491
36.3,890205550
36.466667,890205610
36.6,890205658
36.733333,890205705
37.066667,890205825
37.233333,890205884
37.5,890205980
37.666667,890206040
37.833333,890206099
38.1,890206195
38.266667,890206255
38.366667,890206290
38.533333,890206350
38.866667,890206469
39.133333,890206565
39.433333,890206672
39.6,890206732
39.866667,890206828
40.0,890206875
40.266667,890206971
40.466667,890207042
40.6,890207090
40.733333,890207138
41.0,890207233
41.166667,890207293
41.5,890207412
41.633333,890207460
41.933333,890207568
42.0,890207592
42.233333,890207675
42.366667,890207723
42.533333,890207783
42.7,890207842
42.866667,890207902
43.033333,890207962
43.133333,890207997
43.3,890208057
43.5,890208129
43.566667,890208153
43.766667,890208224
43.866667,890208260
44.2,890208379
44.333333,890208427
44.766667,890208582
44.933333,890208642
45.1,890208702
45.433333,890208821
45.5,890208845
45.666667,890208905
45.833333,890208964
45.966667,890209012
46.6,890209239
47.2,890209454
47.5,890209561
47.6,890209597
47.766667,890209657
48.1,890209776
48.966667,890210086
49.133333,890210146
49.4,890210242
49.9,890210421
50.166667,890210516
50.3,890210564
50.5,890210636
50.766667,890210731
50.9,890210779
51.3,890210922
51.366667,890210946
51.8,890211101
52.1,890211209
52.8,890211459
52.933333,890211507
53.133333,890211579
53.366667,890211662
53.7,890211782
53.833333,890211829
55.933333,890212581
56.833333,890212904
57.7,890213214
58.2,890213393
60.1,890214074
60.433333,890214193
60.566667,890214241
61.033333,890214408
62.2,890214826
62.433333,890214909
62.6,890214969
62.666667,890214993
64.2,890215542
64.733333,890215733
65.033333,890215840
65.2,890215900
65.633333,890216055
66.233333,890216270
66.366667,890216318
66.5,890216366
66.633333,890216413
67.1,890216580
67.233333,890216628
68.333333,890217022
68.633333,890217130
68.766667,890217177
68.933333,890217237
69.2,890217332
69.5,890217440
69.766667,890217535
70.233333,890217703
70.433333,890217774
70.533333,890217810
70.766667,890217894
70.866667,890217929
71.166667,890218037
71.3,890218085
71.6,890218192
71.933333,890218311
72.033333,890218347
72.366667,890218467
72.633333,890218562
72.766667,890218610
72.966667,890218681
73.233333,890218777
73.4,890218837
73.8,890218980
73.966667,890219040
74.2,890219123
74.266667,890219147
74.466667,890219219
74.8,890219338
74.866667,890219362
75.166667,890219469
75.333333,890219529
75.633333,890219636
75.733333,890219672
76.366667,890219899
76.7,890220018
76.8,890220054
77.3,890220233
78.4,890220627
78.7,890220735
79.033333,890220854
79.3,890220950
79.466667,890221009
80.033333,890221212
80.266667,890221296
80.333333,890221320
80.5,890221379
80.633333,890221427
80.966667,890221546
81.133333,890221606
83.166667,890222334
83.5,890222454
83.666667,890222513
84.1,890222669
84.233333,890222716
84.466667,890222800
84.533333,890222824
84.766667,890222907
84.833333,890222931
84.966667,890222979
85.3,890223098
85.8,890223277
85.866667,890223301
86.766667,890223624
87.833333,890224006
88.2,890224137
88.266667,890224161
88.8,890224352
88.866667,890224376
89.833333,890224722
89.933333,890224758
90.4,890224925
90.666667,890225020
91.033333,890225152
91.333333,890225259
91.6,890225354
92.133333,890225545
92.233333,890225581
92.666667,890225736
92.933333,890225832
93.266667,890225951
93.566667,890226059
93.733333,890226118
93.9,890226178
94.166667,890226274
94.3,890226321
94.466667,890226381
94.6,890226429
94.833333,890226512
