time_s,tick_ms_mapped
2.133333,890196225
3.9,890196457
5.0,890196601
5.6,890196680
6.0,890196732
6.2,890196759
6.733333,890196829
7.8,890196969
8.1,890197008
8.4,890197047
8.533333,890197065
8.666667,890197082
8.966667,890197122
9.666667,890197213
10.2,890197283
10.666667,890197345
10.8,890197362
10.9,890197375
11.266667,890197423
11.766667,890197489
12.133333,890197537
12.266667,890197555
12.966667,890197646
13.333333,890197694
13.633333,890197734
14.8,890197887
14.9,890197900
16.366667,890198092
16.766667,890198145
17.4,890198228
17.766667,890198276
17.9,890198294
20.5,890198635
20.6,890198648
28.166667,890199640
30.666667,890199968
33.1,890200288
34.1,890200419
34.333333,890200449
34.433333,890200463
35.166667,890200559
35.5,890200603
35.833333,890200646
36.533333,890200738
37.3,890200839
37.566667,890200874
37.8,890200904
37.9,890200917
38.4,890200983
39.166667,890201084
39.4,890201114
39.666667,890201149
39.866667,890201175
40.233333,890201223
40.533333,890201263
41.2,890201350
41.566667,890201398
42.433333,890201512
42.933333,890201578
43.1,890201600
43.533333,890201656
43.833333,890201696
44.266667,890201753
45.166667,890201871
45.466667,890201910
46.666667,890202067
47.2,890202137
47.6,890202190
47.7,890202203
48.166667,890202264
49.2,890202400
49.9,890202492
50.233333,890202535
51.266667,890202671
60.066667,890203825
62.666667,890204167
64.766667,890204442
65.0,890204473
65.633333,890204556
66.233333,890204634
66.533333,890204674
68.4,890204919
68.733333,890204962
69.2,890205024
70.833333,890205238
71.166667,890205282
72.0,890205391
72.433333,890205448
72.666667,890205478
72.966667,890205518
73.2,890205548
74.466667,890205715
74.766667,890205754
75.7,890205876
76.8,890206021
77.366667,890206095
79.0,890206309
83.7,890206926
84.066667,890206974
91.333333,890207927
92.266667,890208050
92.733333,890208111
93.633333,890208229
93.866667,890208260
94.133333,890208295
94.233333,890208308
94.5,890208343
94.8,890208382
