time_s,tick_ms_mapped
2.1,890195225
2.2,890195298
3.9,890196533
4.2,890196751
4.433333,890196921
4.533333,890196993
4.8,890197187
4.966667,890197308
5.033333,890197357
5.166667,890197454
5.333333,890197575
5.466667,890197672
5.566667,890197744
5.633333,890197793
5.766667,890197890
5.933333,890198011
6.0,890198059
6.066667,890198108
6.2,890198205
6.266667,890198253
6.4,890198350
6.5,890198423
6.666667,890198544
6.8,890198641
7.0,890198786
7.1,890198859
7.266667,890198980
7.4,890199077
7.733333,890199319
7.866667,890199416
7.933333,890199464
8.033333,890199537
8.1,890199585
8.166667,890199634
8.266667,890199707
8.333333,890199755
8.466667,890199852
8.533333,890199900
8.6,890199949
8.766667,890200070
8.9,890200167
9.033333,890200264
9.2,890200385
9.366667,890200506
9.533333,890200627
9.666667,890200724
9.8,890200821
9.866667,890200869
9.933333,890200918
10.033333,890200991
10.133333,890201063
10.2,890201112
10.266667,890201160
10.466667,890201305
10.566667,890201378
10.633333,890201427
10.733333,890201499
10.866667,890201596
11.0,890201693
11.133333,890201790
11.233333,890201863
11.333333,890201935
11.466667,890202032
11.666667,890202178
11.8,890202274
12.066667,890202468
12.2,890202565
12.266667,890202614
12.333333,890202662
12.5,890202783
12.666667,890202904
12.8,890203001
13.0,890203147
13.266667,890203340
13.333333,890203389
13.433333,890203461
13.566667,890203558
13.7,890203655
13.833333,890203752
14.0,890203873
14.1,890203946
14.366667,890204140
14.533333,890204261
14.6,890204309
14.7,890204382
14.766667,890204430
14.866667,890204503
14.966667,890204576
15.133333,890204697
15.3,890204818
15.566667,890205012
15.733333,890205133
15.9,890205254
16.033333,890205351
16.166667,890205448
16.333333,890205569
16.4,890205618
16.5,890205690
16.733333,890205860
16.8,890205908
17.1,890206126
17.366667,890206320
17.433333,890206368
17.533333,890206441
17.7,890206562
17.766667,890206611
17.833333,890206659
17.966667,890206756
18.2,890206926
18.266667,890206974
18.433333,890207095
18.6,890207216
18.733333,890207313
18.8,890207362
18.866667,890207410
19.033333,890207531
19.2,890207652
19.3,890207725
19.466667,890207846
19.633333,890207967
19.933333,890208185
20.066667,890208282
20.233333,890208403
20.4,890208525
20.466667,890208573
20.533333,890208621
20.666667,890208718
20.9,890208888
20.966667,890208936
21.133333,890209057
21.4,890209251
21.566667,890209372
22.0,890209687
22.166667,890209808
22.333333,890209930
22.4,890209978
22.466667,890210026
22.633333,890210148
22.9,890210341
23.233333,890210584
23.5,890210777
23.666667,890210899
23.833333,890211020
24.0,890211141
24.133333,890211238
24.333333,890211383
24.566667,890211553
25.0,890211868
25.166667,890211989
25.566667,890212279
25.766667,890212425
25.933333,890212546
26.0,890212594
26.066667,890212643
26.2,890212740
26.366667,890212861
26.5,890212958
26.666667,890213079
27.033333,890213345
27.2,890213466
27.366667,890213588
27.533333,890213709
27.6,890213757
27.8,890213902
28.133333,890214145
28.233333,890214217
28.466667,890214387
28.533333,890214435
28.866667,890214678
29.133333,890214871
29.566667,890215186
29.733333,890215308
29.9,890215429
30.033333,890215526
30.2,890215647
30.333333,890215744
30.5,890215865
30.566667,890215913
30.666667,890215986
30.733333,890216034
31.0,890216228
31.1,890216301
31.166667,890216349
31.233333,890216398
31.4,890216519
31.666667,890216713
31.833333,890216834
32.0,890216955
32.1,890217028
32.3,890217173
32.566667,890217367
32.633333,890217415
32.7,890217464
32.9,890217609
33.033333,890217706
33.166667,890217803
33.233333,890217851
33.466667,890218021
33.766667,890218239
33.833333,890218287
33.933333,890218360
34.1,890218481
34.166667,890218529
34.266667,890218602
34.366667,890218675
34.5,890218772
34.666667,890218893
34.833333,890219014
35.1,890219208
35.2,890219280
35.266667,890219329
35.433333,890219450
35.533333,890219523
35.633333,890219595
35.733333,890219668
35.8,890219717
35.9,890219789
35.966667,890219838
36.033333,890219886
36.166667,890219983
36.233333,890220031
36.333333,890220104
36.466667,890220201
36.633333,890220322
36.7,890220371
36.766667,890220419
36.933333,890220540
37.066667,890220637
37.233333,890220758
37.366667,890220855
37.533333,890220976
37.633333,890221049
37.766667,890221146
37.833333,890221194
37.966667,890221291
38.133333,890221412
38.366667,890221582
38.566667,890221727
38.733333,890221848
38.9,890221969
39.0,890222042
39.166667,890222163
39.333333,890222284
39.466667,890222381
39.6,890222478
39.733333,890222575
39.833333,890222648
39.9,890222696
40.0,890222769
40.166667,890222890
40.3,890222987
40.5,890223132
40.6,890223205
40.766667,890223326
40.866667,890223399
41.033333,890223520
41.2,890223641
41.266667,890223689
41.366667,890223762
41.5,890223859
41.666667,890223980
41.8,890224077
41.9,890224150
41.966667,890224198
42.033333,890224247
42.133333,890224319
42.233333,890224392
42.366667,890224489
42.566667,890224634
42.733333,890224755
42.866667,890224852
43.0,890224949
43.066667,890224998
43.133333,890225046
43.233333,890225119
43.333333,890225191
43.466667,890225288
43.533333,890225337
43.6,890225385
43.733333,890225482
43.8,890225531
43.9,890225603
44.066667,890225724
44.2,890225821
44.333333,890225918
44.5,890226039
44.666667,890226160
44.8,890226257
44.966667,890226378
45.133333,890226500
45.233333,890226572
45.4,890226693
45.466667,890226742
45.533333,890226790
45.7,890226911
45.866667,890227032
46.0,890227129
46.133333,890227226
46.3,890227347
46.633333,890227590
46.733333,890227662
46.9,890227783
47.2,890228001
47.333333,890228098
47.466667,890228195
47.566667,890228268
47.633333,890228316
47.766667,890228413
48.133333,890228680
48.233333,890228752
48.4,890228874
48.566667,890228995
48.7,890229092
48.833333,890229189
49.0,890229310
49.133333,890229407
49.266667,890229503
49.433333,890229625
49.6,890229746
49.733333,890229843
49.933333,890229988
50.0,890230036
50.166667,890230158
50.266667,890230230
50.333333,890230279
50.5,890230400
50.6,890230472
50.766667,890230594
50.933333,890230715
51.266667,890230957
51.333333,890231005
51.4,890231054
51.666667,890231248
51.833333,890231369
52.0,890231490
52.266667,890231684
52.433333,890231805
52.833333,890232096
52.966667,890232192
53.1,890232289
53.2,890232362
53.366667,890232483
53.566667,890232628
53.733333,890232750
53.866667,890232846
54.3,890233161
54.466667,890233283
55.066667,890233719
55.5,890234034
55.666667,890234155
55.8,890234252
55.966667,890234373
56.266667,890234591
56.7,890234906
56.866667,890235027
57.3,890235342
57.7,890235632
57.9,890235778
58.233333,890236020
58.366667,890236117
58.633333,890236311
58.8,890236432
58.933333,890236529
59.1,890236650
59.533333,890236965
59.7,890237086
60.0,890237304
60.133333,890237401
60.466667,890237643
60.533333,890237692
60.6,890237740
61.033333,890238055
61.2,890238176
61.466667,890238370
61.633333,890238491
61.8,890238612
61.933333,890238709
62.1,890238830
62.233333,890238927
62.4,890239048
62.466667,890239097
62.566667,890239169
62.633333,890239218
62.7,890239266
63.133333,890239581
63.3,890239702
63.733333,890240017
64.033333,890240235
64.333333,890240453
64.5,890240574
64.666667,890240695
64.733333,890240744
64.833333,890240817
64.933333,890240889
65.033333,890240962
65.233333,890241107
65.333333,890241180
65.6,890241374
65.666667,890241422
65.766667,890241495
65.933333,890241616
66.066667,890241713
66.266667,890241858
66.366667,890241931
66.533333,890242052
66.6,890242100
66.666667,890242149
66.833333,890242270
67.033333,890242415
67.133333,890242488
67.266667,890242585
67.433333,890242706
67.533333,890242779
67.7,890242900
67.866667,890243021
68.033333,890243142
68.166667,890243239
68.333333,890243360
68.466667,890243457
68.6,890243554
68.7,890243627
68.8,890243699
68.966667,890243820
69.066667,890243893
69.166667,890243966
69.233333,890244014
69.366667,890244111
69.466667,890244184
69.533333,890244232
69.633333,890244305
69.8,890244426
69.966667,890244547
70.133333,890244668
70.266667,890244765
70.4,890244862
70.566667,890244983
70.733333,890245104
70.8,890245153
70.866667,890245201
71.033333,890245322
71.2,890245444
71.3,890245516
71.466667,890245637
71.633333,890245758
71.733333,890245831
71.9,890245952
71.966667,890246001
72.066667,890246073
72.2,890246170
72.366667,890246291
72.5,890246388
72.633333,890246485
72.733333,890246558
72.8,890246606
72.933333,890246703
73.0,890246752
73.166667,890246873
73.266667,890246945
73.4,890247042
73.833333,890247357
74.0,890247478
74.166667,890247600
74.233333,890247648
74.3,890247696
74.433333,890247793
74.5,890247842
74.566667,890247890
74.766667,890248036
74.833333,890248084
74.9,890248133
75.2,890248351
75.333333,890248447
75.5,890248569
75.6,890248641
75.666667,890248690
75.766667,890248762
75.933333,890248883
76.1,890249005
76.266667,890249126
76.4,890249223
76.666667,890249416
76.766667,890249489
76.833333,890249538
77.0,890249659
77.1,890249731
77.166667,890249780
77.3,890249877
77.433333,890249974
77.6,890250095
78.033333,890250410
78.133333,890250482
78.366667,890250652
78.433333,890250700
78.566667,890250797
78.733333,890250918
78.966667,890251088
79.066667,890251161
79.3,890251330
79.466667,890251451
