frame,time_s
64,2.133333
151,5.033333
168,5.6
186,6.2
204,6.8
236,7.866667
243,8.1
254,8.466667
257,8.566667
268,8.933333
275,9.166667
281,9.366667
290,9.666667
299,9.966667
302,10.066667
305,10.166667
308,10.266667
321,10.7
326,10.866667
330,11.0
339,11.3
353,11.766667
369,12.3
384,12.8
389,12.966667
398,13.266667
402,13.4
436,14.533333
443,14.766667
477,15.9
491,16.366667
503,16.766667
522,17.4
531,17.7
535,17.833333
616,20.533333
921,30.7
991,33.033333
1023,34.1
1044,34.8
1067,35.566667
1076,35.866667
1095,36.5
1098,36.6
1103,36.766667
1119,37.3
1126,37.533333
1135,37.833333
1137,37.9
1140,38.0
1152,38.4
1169,38.966667
1175,39.166667
1182,39.4
1184,39.466667
1189,39.633333
1196,39.866667
1209,40.3
1214,40.466667
1237,41.233333
1245,41.5
1250,41.666667
1259,41.966667
1272,42.4
1276,42.533333
1282,42.733333
1286,42.866667
1288,42.933333
1290,43.0
1294,43.133333
1299,43.3
1307,43.566667
1326,44.2
1331,44.366667
1353,45.1
1370,45.666667
1416,47.2
1429,47.633333
1442,48.066667
1496,49.866667
1804,60.133333
1944,64.8
1952,65.066667
1987,66.233333
2050,68.333333
2059,68.633333
2063,68.766667
2069,68.966667
2076,69.2
2093,69.766667
2107,70.233333
2122,70.733333
2126,70.866667
2135,71.166667
2138,71.266667
2140,71.333333
2172,72.4
2174,72.466667
2180,72.666667
2184,72.8
2189,72.966667
2227,74.233333
2229,74.3
2234,74.466667
2244,74.8
2246,74.866667
2305,76.833333
2370,79.0
2434,81.133333
2550,85.0
2740,91.333333
2768,92.266667
2780,92.666667
2789,92.966667
2798,93.266667
2807,93.566667
2809,93.633333
2817,93.9
2827,94.233333
2830,94.333333
2835,94.5
2844,94.8
