frame,time_s
64,2.133333
117,3.9
134,4.466667
152,5.066667
160,5.333333
168,5.6
179,5.966667
181,6.033333
183,6.1
186,6.2
196,6.533333
201,6.7
204,6.8
213,7.1
219,7.3
222,7.4
232,7.733333
237,7.9
241,8.033333
244,8.133333
249,8.3
253,8.433333
255,8.5
257,8.566667
259,8.633333
263,8.766667
267,8.9
271,9.033333
276,9.2
281,9.366667
286,9.533333
290,9.666667
294,9.8
298,9.933333
300,10.0
303,10.1
307,10.233333
318,10.6
322,10.733333
326,10.866667
330,11.0
335,11.166667
339,11.3
353,11.766667
363,12.1
367,12.233333
369,12.3
374,12.466667
380,12.666667
384,12.8
389,12.966667
397,13.233333
403,13.433333
407,13.566667
411,13.7
416,13.866667
420,14.0
436,14.533333
442,14.733333
446,14.866667
449,14.966667
477,15.9
481,16.033333
491,16.366667
503,16.766667
513,17.1
522,17.4
531,17.7
535,17.833333
539,17.966667
570,19.0
598,19.933333
615,20.5
620,20.666667
628,20.933333
666,22.2
674,22.466667
755,25.166667
768,25.6
781,26.033333
796,26.533333
825,27.5
843,28.1
905,30.166667
919,30.633333
923,30.766667
968,32.266667
978,32.6
982,32.733333
991,33.033333
996,33.2
1014,33.8
1018,33.933333
1022,34.066667
1026,34.2
1031,34.366667
1039,34.633333
1045,34.833333
1053,35.1
1055,35.166667
1057,35.233333
1059,35.3
1062,35.4
1066,35.533333
1071,35.7
1073,35.766667
1077,35.9
1080,36.0
1090,36.333333
1094,36.466667
1098,36.6
1103,36.766667
1117,37.233333
1121,37.366667
1126,37.533333
1135,37.833333
1139,37.966667
1144,38.133333
1152,38.4
1157,38.566667
1167,38.9
1170,39.0
1174,39.133333
1180,39.333333
1184,39.466667
1188,39.6
1196,39.866667
1200,40.0
1205,40.166667
1209,40.3
1214,40.466667
1218,40.6
1222,40.733333
1236,41.2
1242,41.4
1245,41.5
1250,41.666667
1254,41.8
1259,41.966667
1267,42.233333
1272,42.4
1277,42.566667
1281,42.7
1286,42.866667
1291,43.033333
1295,43.166667
1300,43.333333
1305,43.5
1307,43.566667
1313,43.766667
1317,43.9
1322,44.066667
1326,44.2
1331,44.366667
1335,44.5
1343,44.766667
1348,44.933333
1353,45.1
1357,45.233333
1361,45.366667
1365,45.5
1367,45.566667
1371,45.7
1375,45.833333
1398,46.6
1402,46.733333
1416,47.2
1420,47.333333
1428,47.6
1434,47.8
1443,48.1
1447,48.233333
1474,49.133333
1478,49.266667
1483,49.433333
1497,49.9
1505,50.166667
1509,50.3
1515,50.5
1523,50.766667
1527,50.9
1537,51.233333
1541,51.366667
1554,51.8
1597,53.233333
1602,53.4
1612,53.733333
1706,56.866667
1732,57.733333
1746,58.2
1804,60.133333
1867,62.233333
1880,62.666667
1943,64.766667
1948,64.933333
1952,65.066667
1969,65.633333
1973,65.766667
1982,66.066667
1987,66.233333
1995,66.5
1999,66.633333
2013,67.1
2036,67.866667
2041,68.033333
2050,68.333333
2054,68.466667
2058,68.6
2063,68.766667
2069,68.966667
2076,69.2
2081,69.366667
2094,69.8
2099,69.966667
2107,70.233333
2112,70.4
2116,70.533333
2121,70.7
2126,70.866667
2135,71.166667
2139,71.3
2143,71.433333
2158,71.933333
2162,72.066667
2166,72.2
2171,72.366667
2175,72.5
2179,72.633333
2185,72.833333
2189,72.966667
2194,73.133333
2198,73.266667
2202,73.4
2215,73.833333
2219,73.966667
2226,74.2
2229,74.3
2234,74.466667
2246,74.866667
2260,75.333333
2264,75.466667
2272,75.733333
2304,76.8
2306,76.866667
2315,77.166667
2319,77.3
2323,77.433333
2370,79.0
2380,79.333333
2384,79.466667
2397,79.9
2402,80.066667
2416,80.533333
2429,80.966667
2434,81.133333
2495,83.166667
2510,83.666667
2523,84.1
2536,84.533333
2550,85.0
2560,85.333333
2635,87.833333
2712,90.4
2740,91.333333
2748,91.6
2764,92.133333
2768,92.266667
2771,92.366667
2781,92.7
2788,92.933333
2797,93.233333
2799,93.3
2808,93.6
2818,93.933333
2822,94.066667
2826,94.2
2829,94.3
2834,94.466667
2845,94.833333
