time_s,tick_ms_mapped
2.133333,890197207
3.9,890197790
4.466667,890197978
5.066667,890198176
5.333333,890198264
5.6,890198352
5.966667,890198473
6.033333,890198495
6.1,890198517
6.2,890198550
6.533333,890198660
6.7,890198715
6.8,890198748
7.1,890198847
7.3,890198913
7.4,890198946
7.733333,890199056
7.9,890199111
8.033333,890199155
8.133333,890199188
8.3,890199243
8.433333,890199287
8.5,890199309
8.566667,890199331
8.633333,890199353
8.766667,890199397
8.9,890199441
9.033333,890199485
9.2,890199540
9.366667,890199595
9.533333,890199650
9.666667,890199695
9.8,890199739
9.933333,890199783
10.0,890199805
10.1,890199838
10.233333,890199882
10.6,890200003
10.733333,890200047
10.866667,890200091
11.0,890200135
11.166667,890200190
11.3,890200234
11.766667,890200388
12.1,890200498
12.233333,890200542
12.3,890200564
12.466667,890200619
12.666667,890200685
12.8,890200729
12.966667,890200784
13.233333,890200872
13.433333,890200938
13.566667,890200982
13.7,890201026
13.866667,890201081
14.0,890201125
14.533333,890201301
14.733333,890201367
14.866667,890201411
14.966667,890201444
15.9,890201753
16.033333,890201797
16.366667,890201907
16.766667,890202039
17.1,890202149
17.4,890202248
17.7,890202347
17.833333,890202391
17.966667,890202435
19.0,890202776
19.933333,890203084
20.5,890203271
20.666667,890203326
20.933333,890203415
22.2,890203833
22.466667,890203921
25.166667,890204812
25.6,890204955
26.033333,890205098
26.533333,890205264
27.5,890205583
28.1,890205781
30.166667,890206463
30.633333,890206617
30.766667,890206661
32.266667,890207157
32.6,890207267
32.733333,890207311
33.033333,890207410
33.2,890207465
33.8,890207663
33.933333,890207707
34.066667,890207751
34.2,890207795
34.366667,890207850
34.633333,890207938
34.833333,890208004
35.1,890208092
35.166667,890208114
35.233333,890208136
35.3,890208158
35.4,890208191
35.533333,890208235
35.7,890208290
35.766667,890208312
35.9,890208356
36.0,890208389
36.333333,890208499
36.466667,890208543
36.6,890208587
36.766667,890208642
37.233333,890208796
37.366667,890208841
37.533333,890208896
37.833333,890208995
37.966667,890209039
38.133333,890209094
38.4,890209182
38.566667,890209237
38.9,890209347
39.0,890209380
39.133333,890209424
39.333333,890209490
39.466667,890209534
39.6,890209578
39.866667,890209666
40.0,890209710
40.166667,890209765
40.3,890209809
40.466667,890209864
40.6,890209908
40.733333,890209952
41.2,890210106
41.4,890210172
41.5,890210205
41.666667,890210260
41.8,890210304
41.966667,890210359
42.233333,890210447
42.4,890210502
42.566667,890210557
42.7,890210601
42.866667,890210656
43.033333,890210712
43.166667,890210756
43.333333,890210811
43.5,890210866
43.566667,890210888
43.766667,890210954
43.9,890210998
44.066667,890211053
44.2,890211097
44.366667,890211152
44.5,890211196
44.766667,890211284
44.933333,890211339
45.1,890211394
45.233333,890211438
45.366667,890211482
45.5,890211526
45.566667,890211548
45.7,890211592
45.833333,890211636
46.6,890211889
46.733333,890211933
47.2,890212087
47.333333,890212131
47.6,890212219
47.8,890212285
48.1,890212384
48.233333,890212428
49.133333,890212726
49.266667,890212770
49.433333,890212825
49.9,890212979
50.166667,890213067
50.3,890213111
50.5,890213177
50.766667,890213265
50.9,890213309
51.233333,890213419
51.366667,890213463
51.8,890213606
53.233333,890214079
53.4,890214134
53.733333,890214244
56.866667,890215279
57.733333,890215565
58.2,890215719
60.133333,890216358
62.233333,890217051
62.666667,890217194
64.766667,890217887
64.933333,890217942
65.066667,890217986
65.633333,890218174
65.766667,890218218
66.066667,890218317
66.233333,890218372
66.5,890218460
66.633333,890218504
67.1,890218658
67.866667,890218911
68.033333,890218966
68.333333,890219065
68.466667,890219109
68.6,890219153
68.766667,890219208
68.966667,890219274
69.2,890219351
69.366667,890219406
69.8,890219549
69.966667,890219604
70.233333,890219692
70.4,890219747
70.533333,890219791
70.7,890219847
70.866667,890219902
71.166667,890220001
71.3,890220045
71.433333,890220089
71.933333,890220254
72.066667,890220298
72.2,890220342
72.366667,890220397
72.5,890220441
72.633333,890220485
72.833333,890220551
72.966667,890220595
73.133333,890220650
73.266667,890220694
73.4,890220738
73.833333,890220881
73.966667,890220925
74.2,890221002
74.3,890221035
74.466667,890221090
74.866667,890221222
75.333333,890221376
75.466667,890221420
75.733333,890221508
76.8,890221861
76.866667,890221883
77.166667,890221982
77.3,890222026
77.433333,890222070
79.0,890222587
79.333333,890222697
79.466667,890222741
79.9,890222884
80.066667,890222939
80.533333,890223093
80.966667,890223236
81.133333,890223291
83.166667,890223963
83.666667,890224128
84.1,890224271
84.533333,890224414
85.0,890224568
85.333333,890224678
87.833333,890225504
90.4,890226351
91.333333,890226659
91.6,890226747
92.133333,890226923
92.266667,890226967
92.366667,890227000
92.7,890227110
92.933333,890227188
93.233333,890227287
93.3,890227309
93.6,890227408
93.933333,890227518
94.066667,890227562
94.2,890227606
94.3,890227639
94.466667,890227694
94.833333,890227815
